"SubjectID","ParticipantAge","ParticipantGender","Nationality","FirstLanguage","LearningArabic","LearningEnglish","ArabicSchool","EnglishSchool","SpokenArabic","WrittenArabic","ArabicReading","SpokenEnglish","WrittenEnglish","EnglishReading","Current%Arabic","Current%English","Childhood%Arabic","Childhood%English","OtherLanguageKnowledge","OtherLanguages","SpeakingOtherLang","ReadingOtherLang","WritingOtherLang","EnglishLexTale","ArabicLexTale"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4519373,25,"Male","Australian","Arabic","1","7","9","11",5,2,3,6,6,7,30,70,40,60,"No",NA,NA,NA,NA,93.75,90
4519358,29,"Male","egypt","Arabic","0","4","13","13",7,7,7,7,7,7,25,75,80,20,"No",NA,NA,NA,NA,80,91.25
4519836,40,"Female","british","Both","5","7","3","10",2,1,1,5,5,6,12,91,81,40,"No",NA,NA,NA,NA,92.5,36.25
4520236,22,"Female","Kuwaiti","Both","3","5","18","16",5,4,6,6,5,6,40,60,75,25,"No",NA,NA,NA,NA,93.75,86.25
4522243,19,"Female","middle eastern","Both","0","0","12","12",7,6,6,7,7,7,71,78,93,84,"No",NA,NA,NA,NA,67.5,70
4527161,25,"Female","canadian","Both","since birth","2","12","16",7,5,5,7,6,7,50,50,50,50,"No",NA,NA,NA,NA,82.5,95
4522907,23,"Male","moroccan","Arabic","at the age of 7 is started learning it (moroccan is a mix of languages)","9","9","15",6,5,7,5,5,7,20,25,60,15,"Yes",NA,6,7,NA,86.25,83.75
4522777,24,"Female","American/Belgian","Both","0","0","0","12",5,2,4,6,6,6,30,50,50,50,"Yes","Dutch",7,7,6,73.75,80
4521586,20,"Female","palestinian","Both","1","1","13","13",7,6,6,7,7,7,65,35,80,20,"No",NA,NA,NA,NA,91.25,77.5
4520825,19,"Female","British","Arabic","0","3","1","14",4,5,5,6,6,6,25,75,40,60,"Yes","French",5,4,4,85,86.25
4520770,19,"Male","Egyptian","Both","2","4","10","12",3,1,2,7,5,7,30,70,75,25,"No",NA,NA,NA,NA,76.25,63.75
4520551,20,"Female","Moroccan","Arabic","Dialectal arabic, since birth. Classical arabic at 5","Around 6","12","12",5,3,4,6,6,7,14,95,50,2,"Yes","French and German",7,7,6,96.25,86.25
4520392,29,"Female","Egyption","Arabic","0","10","16","16",7,6,6,6,6,6,30,70,80,20,"No",NA,NA,NA,NA,66.25,95
4520211,28,"Female","British","Arabic","0","13","5","10",7,7,7,7,6,7,50,50,70,30,"No",NA,NA,NA,NA,75,97.5
4519536,31,"Male","British/Syrian","Both","2","2","7","12",7,7,7,7,7,7,45,55,65,35,"No",NA,NA,NA,NA,87.5,73.75
4519160,20,"Male","Iraq","Arabic","0","8","6","12",5,2,2,7,7,7,20,80,90,10,"No",NA,NA,NA,NA,87.5,60
4519141,26,"Female","Lebanese","Arabic","1","3","10","12",7,7,7,7,7,7,50,50,85,15,"No",NA,NA,NA,NA,90,97.5
4518995,27,"Female","Moroccan-American","Arabic","1","2","0","12",5,3,3,7,7,7,20,80,60,40,"No",NA,NA,NA,NA,80,42.5
4518945,21,"Female","Libyan","Both","Sincei I was born","7 years old","10","10",7,7,7,7,7,7,50,50,75,33,"No",NA,NA,NA,NA,85,90
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
