"","Schedule ID","TaskName","Experiment ID","SubjectID","SubjectTrialNumber","WordColour","Word","Colour","Ink_name","TrialType","Language","Stroop","Block","Sound","Accuracy","RT"
"32",16496957,"AccuracyCoding",59570,4515754,32,"samkeh_orange","samkeh","orange","bourtoukalij","Repetition","Arabic","Neutral","Animals","59570-2-4515754-task-k8ru-15226855-bourtoukalij-32-2.weba","Incorrect Colour",2073
"33",16496957,"AccuracyCoding",59570,4515754,33,"horse_blue","horse","blue","blue","Switch","English","Neutral","Animals","59570-2-4515754-task-k8ru-15226855-blue-33-2.weba","Correct",1593
"34",16496957,"AccuracyCoding",59570,4515754,34,"fish_orange","fish","orange","orange","Repetition","English","Neutral","Animals","59570-2-4515754-task-k8ru-15226855-orange-34-2.weba","Correct",1673
"35",16496957,"AccuracyCoding",59570,4515754,35,"spider_blue","spider","blue","blue","Repetition","English","Neutral","Animals","59570-2-4515754-task-k8ru-15226855-blue-35-2.weba","Correct",1229
"36",16496957,"AccuracyCoding",59570,4515754,36,"fish_pink","fish","pink","pink","Repetition","English","Neutral","Animals","59570-2-4515754-task-k8ru-15226855-pink-36-2.weba","No/Other Sound",NA
"37",16496957,"AccuracyCoding",59570,4515754,37,"horse_orange","horse","orange","orange","Repetition","English","Neutral","Animals","59570-2-4515754-task-k8ru-15226855-orange-37-2.weba","Incorrect Colour",1910
"38",16496957,"AccuracyCoding",59570,4515754,38,"samkeh_blue","samkeh","blue","azraq","Switch","Arabic","Neutral","Animals","59570-2-4515754-task-k8ru-15226855-azraq-38-2.weba","Correct",2157
"39",16496957,"AccuracyCoding",59570,4515754,39,"hasan_orange","hasan","orange","bourtoukalij","Repetition","Arabic","Neutral","Animals","59570-2-4515754-task-k8ru-15226855-bourtoukalij-39-2.weba","Correct",1506
"40",16496957,"AccuracyCoding",59570,4515754,40,"samkeh_pink","samkeh","pink","zahri","Repetition","Arabic","Neutral","Animals","59570-2-4515754-task-k8ru-15226855-zahri-40-2.weba","Correct",1216
"41",16496957,"AccuracyCoding",59570,4515754,41,"horse_orange","horse","orange","orange","Switch","English","Neutral","Animals","59570-2-4515754-task-k8ru-15226855-orange-41-2.weba","Correct",1224
"42",16496957,"AccuracyCoding",59570,4515754,42,"ankabout_pink","ankabout","pink","zahri","Switch","Arabic","Neutral","Animals","59570-2-4515754-task-k8ru-15226855-zahri-42-2.weba","No/Other Sound",NA
"43",16496957,"AccuracyCoding",59570,4515754,43,"fish_orange","fish","orange","orange","Switch","English","Neutral","Animals","59570-2-4515754-task-k8ru-15226855-orange-43-2.weba","Correct",1640
"44",16496957,"AccuracyCoding",59570,4515754,44,"horse_pink","horse","pink","pink","Repetition","English","Neutral","Animals","59570-2-4515754-task-k8ru-15226855-pink-44-2.weba","Incorrect Language",NA
"45",16496957,"AccuracyCoding",59570,4515754,45,"spider_orange","spider","orange","orange","Repetition","English","Neutral","Animals","59570-2-4515754-task-k8ru-15226855-orange-45-2.weba","Incorrect Language",1499
"46",16496957,"AccuracyCoding",59570,4515754,46,"horse_blue","horse","blue","blue","Repetition","English","Neutral","Animals","59570-2-4515754-task-k8ru-15226855-blue-46-2.weba","Correct",12
"47",16496957,"AccuracyCoding",59570,4515754,47,"samkeh_orange","samkeh","orange","bourtoukalij","Switch","Arabic","Neutral","Animals","59570-2-4515754-task-k8ru-15226855-bourtoukalij-47-2.weba","No/Other Sound",NA
"48",16496957,"AccuracyCoding",59570,4515754,48,"spider_blue","spider","blue","blue","Switch","English","Neutral","Animals","59570-2-4515754-task-k8ru-15226855-blue-48-2.weba","No/Other Sound",NA
"49",16496957,"AccuracyCoding",59570,4515754,49,"fish_pink","fish","pink","pink","Repetition","English","Neutral","Animals","59570-2-4515754-task-k8ru-15226855-pink-49-2.weba","Correct",1074
"50",16496957,"AccuracyCoding",59570,4515754,50,"spider_orange","spider","orange","orange","Repetition","English","Neutral","Animals","59570-2-4515754-task-k8ru-15226855-orange-50-2.weba","Correct",1074
"51",16496957,"AccuracyCoding",59570,4515754,51,"fish_blue","fish","blue","blue","Repetition","English","Neutral","Animals","59570-2-4515754-task-k8ru-15226855-blue-51-2.weba","Correct",1108
"52",16496957,"AccuracyCoding",59570,4515754,52,"ankabout_orange","ankabout","orange","bourtoukalij","Switch","Arabic","Neutral","Animals","59570-2-4515754-task-k8ru-15226855-bourtoukalij-52-2.weba","Correct",1254
"53",16496957,"AccuracyCoding",59570,4515754,53,"samkeh_blue","samkeh","blue","azraq","Repetition","Arabic","Neutral","Animals","59570-2-4515754-task-k8ru-15226855-azraq-53-2.weba","Correct",1377
"54",16496957,"AccuracyCoding",59570,4515754,54,"horse_orange","horse","orange","orange","Switch","English","Neutral","Animals","59570-2-4515754-task-k8ru-15226855-orange-54-2.weba","Correct",1574
"55",16496957,"AccuracyCoding",59570,4515754,55,"ankabout_pink","ankabout","pink","zahri","Switch","Arabic","Neutral","Animals","59570-2-4515754-task-k8ru-15226855-zahri-55-2.weba","No/Other Sound",NA
"56",16496957,"AccuracyCoding",59570,4515754,56,"horse_orange","horse","orange","orange","Switch","English","Neutral","Animals","59570-2-4515754-task-k8ru-15226855-orange-56-2.weba","Correct",1727
"57",16496957,"AccuracyCoding",59570,4515754,57,"fish_pink","fish","pink","pink","Repetition","English","Neutral","Animals","59570-2-4515754-task-k8ru-15226855-pink-57-2.weba","Correct",1965
"58",16496957,"AccuracyCoding",59570,4515754,58,"horse_orange","horse","orange","orange","Repetition","English","Neutral","Animals","59570-2-4515754-task-k8ru-15226855-orange-58-2.weba","Correct",1367
"59",16496957,"AccuracyCoding",59570,4515754,59,"ankabout_blue","ankabout","blue","azraq","Switch","Arabic","Neutral","Animals","59570-2-4515754-task-k8ru-15226855-azraq-59-2.weba","Correct",1089
"60",16496957,"AccuracyCoding",59570,4515754,60,"hasan_orange","hasan","orange","bourtoukalij","Repetition","Arabic","Neutral","Animals","59570-2-4515754-task-k8ru-15226855-bourtoukalij-60-2.weba","Correct",1154
"61",16496957,"AccuracyCoding",59570,4515754,61,"spider_pink","spider","pink","pink","Switch","English","Neutral","Animals","59570-2-4515754-task-k8ru-15226855-pink-61-2.weba","Correct",1442
"62",16496957,"AccuracyCoding",59570,4515754,62,"samkeh_blue","samkeh","blue","azraq","Switch","Arabic","Neutral","Animals","59570-2-4515754-task-k8ru-15226855-azraq-62-2.weba","Correct",1221
"63",16496957,"AccuracyCoding",59570,4515754,63,"horse_pink","horse","pink","pink","Switch","English","Neutral","Animals","59570-2-4515754-task-k8ru-15226855-pink-63-2.weba","Correct",1128
